fund_name,fund_code,nav_global_fund_id,api_key,api_secret
Induro LP,INDU,175076,INDURO_API_KEY,INDURO_API_SECRET
Readout Capital Master Fund LP,RCMF,12345,READOUT_API_KEY,READOUT_API_SECRET
